Team,W,L,PCT,STRK
76ers,18,32,0.36,L3
Bucks,22,28,0.44,W1
Bulls,25,26,0.49,L1
Cavaliers,34,15,0.694,W2
Celtics,33,18,0.647,W7
Hawks,30,21,0.588,W2
Heat,21,30,0.412,W10
Hornets,23,28,0.451,L7
Knicks,22,30,0.423,L1
Magic,20,33,0.377,L1
Nets,9,42,0.176,L9
Pacers,28,22,0.56,W6
Pistons,23,28,0.451,L1
Raptors,31,21,0.596,W1
Wizards,30,20,0.6,W7
